name,position,club_era,club_goals,club_assists,ucl_goals,ucl_assists,league_titles,ucl_titles,domestic_cups,ballon_dors,total_club_trophies,positional_fluidity,team_versatility,goat_score
Lionel Messi,FW,2004-2021,672,301,129,45,10,4,7,7,35,2,1,
Cristiano Ronaldo,FW,2003-2022,701,223,140,42,7,5,6,5,32,3,3,
Zinedine Zidane,MF,1992-2006,125,139,14,19,4,1,5,1,17,2,2,
Kaka,MF,2001-2017,161,110,30,17,1,1,3,1,11,2,2,
Xavi Hernandez,MF,1998-2015,85,185,12,32,8,4,6,0,28,1,1,
Andres Iniesta,MF,2002-2018,68,160,11,30,9,4,7,0,30,2,1,
Robert Lewandowski,FW,2010-2025,405,140,94,30,11,1,7,0,19,2,2,
Thierry Henry,FW,1994-2014,360,180,50,25,3,1,6,0,16,2,2,
Karim Benzema,FW,2004-2023,439,192,90,33,4,5,4,1,22,2,1,
Kevin De Bruyne,MF,2008-2025,160,265,15,45,5,1,8,0,14,2,2,
Francesco Totti,FW,1992-2017,307,187,17,15,1,0,2,0,7,2,1,
Paolo Maldini,DF,1984-2009,40,40,2,8,7,5,5,0,27,2,1,
Sergio Ramos,DF,2004-2022,130,40,15,7,6,4,7,0,25,2,2,
Luka Modric,MF,2003-2025,130,160,24,30,5,5,3,1,18,2,2,
Neymar Jr,FW,2009-2025,300,190,43,32,5,1,7,0,18,3,3,
